BrandName,ModelName,BatterySize,Acceleration,TopSpeed,Range,Efficiency,ChargeSpeed,Drive,Seats,Price
Polestar,2_Long_Range_Dual_Motor,75,4.7,205,395,190,510,All_Wheel_Drive,5,52500
Jaguar,I-Pace_EV400,85,4.8,200,365,232,340,All_Wheel_Drive,5,77300
MG,Marvel_R_Performance,65,4.9,200,330,197,380,All_Wheel_Drive,5,50000
Volvo,XC40_Recharge_Twin_Pure_Electric,75,4.9,180,340,221,440,All_Wheel_Drive,5,59250
Tesla,Cybertruck_Dual_Motor,120,5.0,190,460,261,710,All_Wheel_Drive,7,55000
Nissan,Ariya_e-4ORCE_87_Performance,87,5.1,200,385,226,460,All_Wheel_Drive,5,65000
Mercedes,EQC_400_4MATIC,80,5.1,180,370,216,440,All_Wheel_Drive,5,66069
Tesla,Model_Y_Long_Range_Dual_Motor,76,5.1,217,450,169,750,All_Wheel_Drive,7,59965
Porsche,Taycan_4_Cross_Turismo,84,5.1,220,405,207,850,All_Wheel_Drive,4,93635
Hyundai,IONIQ_5_Project_45,73,5.2,185,370,196,860,All_Wheel_Drive,5,59550
Hyundai,IONIQ_5_Long_Range_AWD,73,5.2,185,375,194,870,All_Wheel_Drive,5,48900
Porsche,Taycan,71,5.4,230,395,180,790,Rear_Wheel_Drive,4,83520
Porsche,Taycan_Plus,84,5.4,230,460,182,960,Rear_Wheel_Drive,4,89244
Kia,EV6_Long_Range_AWD,77,5.4,185,410,189,950,All_Wheel_Drive,5,56000
Byton,M-Byte_95_4WD,95,5.5,190,390,244,460,All_Wheel_Drive,5,64000
Tesla,Model_3_Standard_Range_Plus_LFP,51,5.6,225,340,150,570,Rear_Wheel_Drive,5,43560
Tesla,Model_3_Standard_Range_Plus,50,5.6,225,340,147,680,Rear_Wheel_Drive,5,43560
Nissan,Ariya_e-4ORCE_87,87,5.7,200,420,207,500,All_Wheel_Drive,5,57500
Audi,e-tron_55_quattro,87,5.7,200,365,237,590,All_Wheel_Drive,5,81500
Audi,e-tron_Sportback_55_quattro,87,5.7,200,375,231,600,All_Wheel_Drive,5,83750
Audi,e-tron_Sportback_55_quattro,87,5.7,200,375,231,600,All_Wheel_Drive,5,69100
BMW,i4_eDrive40,81,5.7,190,475,170,660,Rear_Wheel_Drive,5,58300
Audi,e-tron_55_quattro,87,5.7,200,365,237,590,All_Wheel_Drive,5,62900
Ford,Mustang_Mach-E_ER_AWD,88,5.8,180,420,210,410,All_Wheel_Drive,5,59995
Nissan,Ariya_e-4ORCE_63,63,5.9,200,325,194,440,All_Wheel_Drive,5,50000
Mercedes,EQA_350_4MATIC,67,6.0,160,350,190,420,All_Wheel_Drive,5,56216
BMW,iX_xDrive40,71,6.1,200,350,203,470,All_Wheel_Drive,5,77300
Hyundai,IONIQ_5_Standard_Range_AWD,58,6.1,185,305,190,710,All_Wheel_Drive,5,45700
Skoda,Enyaq_iV_RS,77,6.2,180,395,195,480,All_Wheel_Drive,5,50000
Mercedes,EQS_450+,108,6.2,210,640,168,840,Rear_Wheel_Drive,5,106374
Audi,Q4_e-tron_50_quattro,77,6.2,180,385,199,470,All_Wheel_Drive,5,53600
