BrandName;ModelName;BatterySize;Acceleration;TopSpeed;Range;Efficiency;ChargeSpeed;Drive;Seats;Price
Tesla;Roadster     ;200;21;410;970;206;920;All Wheel Drive;4;215000
Tesla;Model X Plaid   ;90;26;262;455;198;680;All Wheel Drive;7;116990
Porsche;Taycan Turbo S   ;84;28;260;390;215;860;All Wheel Drive;4;186336
Porsche;Taycan Turbo S Cross Turismo ;84;29;250;380;220;790;All Wheel Drive;4;187746
GMC;Hummer EV    ;200;30;200;329;267;100;All Wheel Drive;5;108700
Tesla;Cybertruck Tri Motor   ;200;30;210;750;267;710;All Wheel Drive;7;75000
Lucid;Air Grand Touring   ;110;32;270;660;167;1380;All Wheel Drive;5;140000
Tesla;Model S Long Range  ;90;32;250;555;162;830;All Wheel Drive;5;86990
Porsche;Taycan Turbo    ;84;32;260;400;209;840;All Wheel Drive;4;153016
Tesla;Model 3 Performance   ;76;33;261;470;162;790;All Wheel Drive;5;58560
Audi;e-tron GT RS   ;85;33;250;405;210;810;All Wheel Drive;4;138200
Porsche;Taycan Turbo Cross Turismo  ;84;33;250;385;217;800;All Wheel Drive;4;154444
Lucid;Air Touring    ;85;34;250;530;160;1390;All Wheel Drive;5;95000
Kia;EV6 GT    ;77;35;260;395;196;920;All Wheel Drive;5;65990
Tesla;Model Y Performance   ;76;37;241;430;177;720;All Wheel Drive;7;66965
Tesla;Model X Long Range  ;90;39;250;475;189;710;All Wheel Drive;7;95990
BMW;i4 M50    ;81;39;225;450;179;630;All Wheel Drive;5;69900
Porsche;Taycan 4S    ;71;40;250;375;189;750;All Wheel Drive;4;106487
Porsche;Taycan 4S Plus   ;84;40;250;435;192;910;All Wheel Drive;4;113008
Audi;e-tron GT quattro   ;85;41;245;420;202;840;All Wheel Drive;4;99800
Porsche;Taycan 4S Cross Turismo  ;84;41;240;405;207;850;All Wheel Drive;4;111842
Lucid;Air Pure    ;85;42;200;540;157;1410;Rear Wheel Drive;5;80000
Mercedes;EQS 580 4MATIC   ;108;43;210;610;177;800;All Wheel Drive;5;135529
Tesla;Model 3 Long Range Dual Motor;70;44;233;455;154;570;All Wheel Drive;5;46690
Ford;Mustang Mach-E GT   ;88;44;200;410;215;400;All Wheel Drive;5;59995
Tesla;Model 3 Long Range Dual Motor;76;44;233;490;155;820;All Wheel Drive;5;53560
Audi;e-tron S 55 quattro  ;87;45;210;320;270;510;All Wheel Drive;5;93800
Audi;e-tron S Sportback 55 quattro ;87;45;210;335;258;540;All Wheel Drive;5;96050
BMW;iX xDrive50    ;105;46;200;505;208;620;All Wheel Drive;5;98000
Volvo;C40 Recharge    ;75;47;180;340;221;440;All Wheel Drive;5;62050
Polestar;2 Long Range Dual Motor ;75;47;205;395;190;510;All Wheel Drive;5;52500
Jaguar;I-Pace EV400    ;85;48;200;365;232;340;All Wheel Drive;5;77300
MG;Marvel R Performance   ;65;49;200;330;197;380;All Wheel Drive;5;50000
