;Last;PE;;ROE;;
;Y;X1;;X2;;
;42.92 c;20,63;;6,94;;
;183.16 c;15,56;;--;;
;196.32 c;52;;82,54;;
;62.37 c;43,92;;3,23;;
;326.88 c;32,39;;15,26;;
;135.24 c;19,98;;29,61;;
;226.19 c;--;;-0,7;;
;57.57 c;34,61;;4,75;;
;178.68 c;23,61;;28,81;;
;74.64 c;9,68;;18,56;;
;74.17 c;32,65;;22,89;;
;66.72 c;10,13;;--;;
;485.11 c;60,43;;104,58;;
;111.01 c;3,83;;54,91;;
;51.82 c;19,14;;--;;
;79.38 c;294,6;;0,66;;
;108.62 c;28,32;;46,17;;
;137.74 c;30,15;;--;;
;69.3 c;21,84;;10,75;;
;80 c;35,39;;26,74;;
;476.07 c;44,41;;--;;
;52.61 c;4,05;;--;;
;120.59 c;16,15;;22,64;;
;47.81 c;--;;-2,22;;
;128.06 c;30,64;;23,45;;
;53.45 c;8,51;;23,57;;
;72.33 c;18,86;;24,33;;
;142.41 c;31,43;;--;;
;16.79 c;14,96;;8,28;;
;73.39 c;27,76;;92,59;;
;27.9 c;6,3;;--;;
;108.77 c;6,59;;34,17;;
;66.86 c;32,38;;4,73;;
;114.14 c;7,25;;20,55;;
;43.08 c;10,5;;48,66;;
;189.02 c;34,44;;5,63;;
;29.16 c;17,43;;17,89;;
;85.45 c;28,85;;--;;
;49.12 c;16,06;;23,02;;
;188.08 c;32,86;;18,48;;
;101.95 c;23,28;;36,22;;
;106.53 c;16,35;;65,83;;
;137.62 c;4,78;;46,91;;
;314.41 c;25,82;;37,56;;
;75.9 c;18,15;;14,59;;
;79.87 c;18,8;;35,31;;
;99.41 c;21,31;;8,15;;
;169.5 c;21,07;;28.805,77;;
;233.5 c;44,05;;24,96;;
;124.74 c;45,22;;10,2;;
;681.46 c;22,51;;71,72;;
;154.12 c;21,38;;19,62;;
;144.68 c;28,89;;16,16;;
;87.04 c;4,86;;--;;
;209.49 c;--;;-50,8;;
;32.55 c;25,62;;6,57;;
;55.14 c;--;;-44,85;;
;41.02 c;14,15;;--;;
;136.86 c;31,59;;15,97;;
;64.14 c;31,17;;7,32;;
;13.04 c;--;;-25,12;;
;62.56 c;14,18;;18,85;;
;54.59 c;28,91;;35,03;;
;214.47 c;32,72;;45,63;;
;270.09 c;33,92;;36,45;;
;48.11 c;5,27;;58,89;;
;117.67 c;--;;--;;
;64.23 c;36,83;;31,08;;
;75.45 c;81,23;;5,87;;
;215.55 c;14,26;;24,65;;
;290.86 c;12,92;;52,52;;
;1372.15 c;35,73;;889,34;;
;95.45 c;21,43;;12,61;;
;90.54 c;7,64;;31,82;;
;64.14 c;31,65;;3,82;;
;29.86 c;9,79;;--;;
;80.35 c;--;;--;;
;149.74 c;33,24;;10,94;;
;98.87 c;87,41;;2,12;;
;77.22 c;20,3;;--;;
;137.42 c;99,58;;2,35;;
;74.19 c;46,43;;5,23;;
;63.21 c;16,47;;27,54;;
;27.89 c;--;;-3,88;;
;31.59 c;6,31;;17,81;;
;103.76 c;256,46;;0,47;;
;55.2 c;24,43;;17,93;;
;362.72 c;47,39;;23,11;;
;76.98 c;19,03;;9,25;;
;243.87 c;25,12;;53,83;;
;29.56 c;17,07;;21,44;;
;31.29 c;20,38;;10,81;;
;196.09 c;44,09;;8,82;;
;145.67 c;23,59;;28,29;;
;79.455 c;--;;-1,44;;
;237.05 c;56,19;;--;;
;94.91 c;48,47;;6,92;;
;295.81 c;49,42;;11,2;;
;180.15 c;22,22;;10,25;;
;504.51 c;21,01;;71,09;;
;203.4 c;36,02;;18,46;;
;171.43 c;51,65;;9,36;;
;400.93 c;29,26;;12,5;;
;45.82 c;--;;-17,07;;
;173.69 c;20,9;;32,49;;
;228.07 c;24,35;;9,01;;
;95.35 c;6,16;;--;;
;70.55 c;25,29;;25,06;;
;304.52 c;30,56;;269,78;;
;89.02 c;35,27;;15;;
;105.845 c;15,8;;17,44;;
;62.65 c;30,49;;7,02;;
;130.49 c;5,3;;32,37;;
;58.41 c;40,64;;6,48;;
;89.8 c;21,7;;10,63;;
;96.21 c;57,25;;12,31;;
;113.97 c;20,68;;11,34;;
;305.26 c;66,21;;10,01;;
;222.94 c;35,73;;--;;
;336.05 c;11,33;;32,25;;
;73.81 c;17,19;;17,18;;
;68.5 c;9,53;;--;;
;194.51 c;8,52;;39,53;;
;64.55 c;30,84;;7,87;;
;107.6 c;20,05;;8,7;;
;168.66 c;20,73;;96,54;;
;39.57 c;55,75;;4,31;;
;322.85 c;4.906,53;;0,89;;
;43.84 c;--;;-32,64;;
;86.75 c;--;;-9,65;;
;161.42 c;58,66;;63,29;;
;30.1 c;11,9;;17,48;;
;40.13 c;22,05;;13,79;;
;33.8 c;16,44;;25,18;;
;85.18 c;--;;-172,46;;
;69.88 c;12,83;;--;;
;28.76 c;29,68;;5,17;;
;156.8 c;24,47;;27;;
;122.28 c;38,51;;2,97;;
;34.48 c;55,06;;3,82;;
;124.74 c;34,85;;11,71;;
;168.53 c;45,2;;95,55;;
;42.27 c;56,47;;31;;
;82.07 c;16;;28,63;;
;103.83 c;20,59;;15,81;;
;223.51 c;16,01;;12,56;;
;77.16 c;--;;-54,21;;
;415.98 c;45,96;;30,05;;
;140.97 c;19;;25,14;;
;413.9 c;25,04;;9,99;;
;390.9 c;50,36;;5,47;;
;180.74 c;--;;-0,75;;
;106.81 c;54,46;;10,58;;
;30.28 c;18,99;;10,86;;
;114.86 c;9,96;;--;;
;5836.51 c;11,87;;53,02;;
;757.9 c;53,46;;--;;
;47.04 c;--;;-0,44;;
;189.39 c;177,39;;1,7;;
;65.59 c;27,72;;15,26;;
;24.46 c;4,82;;33,24;;
;85.6 c;12,25;;17,05;;
;176.61 c;19,18;;28,58;;
